Question ID,Question,Category,Difficulty Level,Tags,Answer,User Rating
25,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, Media Queries",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.3
26,What are CSS pseudo-classes?,Frontend Development,Beginner,"Media Queries, HTML, DOM Manipulation","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.4
27,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Flexbox, HTML, JavaScript, Forms",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.8
28,How do you validate a form using JavaScript?,Frontend Development,Beginner,"DOM Manipulation, Bootstrap, JavaScript",The DOM is the Document Object Model that represents the HTML structure as an object tree.,5.0
29,How do you center a div using CSS?,Frontend Development,Beginner,"Basic Styling, Forms, Media Queries, Bootstrap",Media queries allow you to apply styles conditionally based on screen size or device type.,4.7
30,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Bootstrap, Basic Styling",Media queries allow you to apply styles conditionally based on screen size or device type.,4.2
31,What is the DOM in JavaScript?,Frontend Development,Beginner,"HTML, CSS, Bootstrap, DOM Manipulation","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.5
32,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"DOM Manipulation, Responsive Design, HTML","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.1
33,What are semantic elements in HTML?,Frontend Development,Beginner,"HTML, JavaScript, Web Accessibility, CSS",You can use margin: auto along with a defined width to center a div.,4.6
34,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Flexbox, Forms, CSS, Basic Styling",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.1
35,What is the DOM in JavaScript?,Frontend Development,Beginner,"Bootstrap, HTML","Pseudo-classes define the state of an element, like :hover or :focus.",4.9
36,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Media Queries, Bootstrap, JavaScript","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.9
37,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Media Queries, Web Accessibility",You can use margin: auto along with a defined width to center a div.,4.9
38,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Grid, CSS, HTML, Flexbox",Add a JavaScript click event listener to make a button clickable.,4.2
39,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"CSS, Flexbox, HTML, Responsive Design",You can use document.getElementById('id') to select an element by its ID.,4.2
40,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"DOM Manipulation, CSS, Forms, JavaScript",You can use document.getElementById('id') to select an element by its ID.,4.8
41,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"HTML, Flexbox, Forms, Media Queries",Media queries allow you to apply styles conditionally based on screen size or device type.,4.1
42,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Forms, CSS, Media Queries, Web Accessibility",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.7
43,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Flexbox, Media Queries, JavaScript, Forms","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.7
44,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Basic Styling, Forms, Bootstrap, CSS",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.8
45,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, Flexbox, DOM Manipulation",Add a JavaScript click event listener to make a button clickable.,5.0
46,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"JavaScript, DOM Manipulation, Bootstrap, Basic Styling","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.6
47,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"DOM Manipulation, HTML, CSS, Bootstrap","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.2
48,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Bootstrap, DOM Manipulation",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.2
49,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, CSS, HTML",Media queries allow you to apply styles conditionally based on screen size or device type.,4.4
50,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Basic Styling, Flexbox",You can use document.getElementById('id') to select an element by its ID.,4.3
51,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Flexbox, Web Accessibility, Responsive Design, HTML","Pseudo-classes define the state of an element, like :hover or :focus.",4.5
52,What are semantic elements in HTML?,Frontend Development,Beginner,"CSS, HTML, Web Accessibility","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.7
53,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Media Queries, DOM Manipulation, CSS, Bootstrap",Add a JavaScript click event listener to make a button clickable.,4.3
54,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Basic Styling, Grid, Responsive Design",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.5
55,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"JavaScript, Flexbox, CSS",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.6
56,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Responsive Design, Bootstrap",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.4
57,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Responsive Design, Media Queries, Bootstrap, DOM Manipulation","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.3
58,How do you validate a form using JavaScript?,Frontend Development,Beginner,"DOM Manipulation, Flexbox",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.0
59,What are CSS pseudo-classes?,Frontend Development,Beginner,"JavaScript, Media Queries, Grid, HTML",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.2
60,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Media Queries, Web Accessibility, Grid, JavaScript",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.2
61,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Grid, Responsive Design, DOM Manipulation, JavaScript","Padding is the space inside an element's border, while margin is the space outside it.",4.2
62,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Bootstrap, Media Queries, Web Accessibility, Flexbox",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.6
63,What are semantic elements in HTML?,Frontend Development,Beginner,"Bootstrap, Grid, Web Accessibility","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.0
64,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"HTML, Flexbox",Add a JavaScript click event listener to make a button clickable.,4.1
65,What is the DOM in JavaScript?,Frontend Development,Beginner,"Media Queries, Basic Styling, HTML","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.2
66,What is the DOM in JavaScript?,Frontend Development,Beginner,"HTML, CSS",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.1
67,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Forms, Bootstrap, Media Queries, Flexbox","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.2
68,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Responsive Design, Media Queries, DOM Manipulation",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,5.0
69,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Basic Styling, CSS, HTML, Media Queries","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.5
70,What are CSS pseudo-classes?,Frontend Development,Beginner,"Responsive Design, CSS, JavaScript, Bootstrap","Padding is the space inside an element's border, while margin is the space outside it.",4.6
71,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Media Queries, Grid",You can use document.getElementById('id') to select an element by its ID.,4.7
72,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"JavaScript, Forms, CSS, Responsive Design",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.5
73,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Bootstrap, DOM Manipulation, HTML","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",5.0
74,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Web Accessibility, Responsive Design, Basic Styling",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.6
75,What are CSS pseudo-classes?,Frontend Development,Beginner,"CSS, Web Accessibility","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",5.0
76,What are CSS pseudo-classes?,Frontend Development,Beginner,"Flexbox, DOM Manipulation",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.5
77,What are media queries in CSS?,Frontend Development,Beginner,"Basic Styling, Bootstrap",Use the <link> tag within the <head> to include an external CSS file.,4.4
78,How do you apply a background image to a webpage?,Frontend Development,Beginner,"JavaScript, Flexbox","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.9
79,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Bootstrap, HTML, Flexbox, Web Accessibility",Add a JavaScript click event listener to make a button clickable.,4.5
80,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Responsive Design, Forms",Use the <link> tag within the <head> to include an external CSS file.,4.5
81,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Web Accessibility, CSS, Forms",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.5
82,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Responsive Design, Forms, Bootstrap",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.7
83,What is the DOM in JavaScript?,Frontend Development,Beginner,"Responsive Design, CSS, Grid, Web Accessibility","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.2
84,What are media queries in CSS?,Frontend Development,Beginner,"Grid, Flexbox, Bootstrap, DOM Manipulation",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.4
85,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Media Queries, Web Accessibility, Grid, DOM Manipulation","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.1
86,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Flexbox, Responsive Design, HTML, Forms","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.5
87,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"HTML, Grid, Forms","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.7
88,How do you validate a form using JavaScript?,Frontend Development,Beginner,"CSS, Grid, Media Queries","Padding is the space inside an element's border, while margin is the space outside it.",4.4
89,What is the DOM in JavaScript?,Frontend Development,Beginner,"CSS, HTML, Web Accessibility, Media Queries",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.2
90,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"CSS, HTML","Padding is the space inside an element's border, while margin is the space outside it.",4.9
91,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Media Queries, HTML, Basic Styling, Web Accessibility",Add a JavaScript click event listener to make a button clickable.,4.8
92,What are CSS pseudo-classes?,Frontend Development,Beginner,"Bootstrap, Responsive Design",Use the <link> tag within the <head> to include an external CSS file.,4.8
93,What is the DOM in JavaScript?,Frontend Development,Beginner,"DOM Manipulation, Media Queries, CSS","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.9
94,How do you center a div using CSS?,Frontend Development,Beginner,"CSS, JavaScript, Grid","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.5
95,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Flexbox, Responsive Design, Forms",Media queries allow you to apply styles conditionally based on screen size or device type.,4.4
96,What is the DOM in JavaScript?,Frontend Development,Beginner,"JavaScript, HTML, DOM Manipulation, Forms","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.4
97,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Grid, Bootstrap, DOM Manipulation, CSS","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.4
98,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Flexbox, Basic Styling, JavaScript, Media Queries","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.9
99,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Forms, HTML, Responsive Design, Grid","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.3
100,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Basic Styling, Media Queries, DOM Manipulation","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.9
101,How do you center a div using CSS?,Frontend Development,Beginner,"Bootstrap, Responsive Design, DOM Manipulation","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.2
102,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Grid, Forms, Media Queries",You can use document.getElementById('id') to select an element by its ID.,4.1
103,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Grid, Responsive Design, Basic Styling, HTML","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.5
104,What are semantic elements in HTML?,Frontend Development,Beginner,"Forms, Responsive Design, CSS","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.3
105,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Media Queries, Responsive Design, Forms","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.4
106,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Basic Styling, Responsive Design, Flexbox, HTML",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.4
107,What are CSS pseudo-classes?,Frontend Development,Beginner,"Bootstrap, HTML, CSS, Media Queries",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.3
108,What are CSS pseudo-classes?,Frontend Development,Beginner,"Responsive Design, Forms",Add a JavaScript click event listener to make a button clickable.,4.5
109,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Basic Styling, JavaScript","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.9
110,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Bootstrap, Responsive Design","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.6
111,What are CSS pseudo-classes?,Frontend Development,Beginner,"Bootstrap, Flexbox, HTML, Basic Styling",You can use margin: auto along with a defined width to center a div.,4.8
112,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Basic Styling, HTML, Bootstrap","Pseudo-classes define the state of an element, like :hover or :focus.",4.4
113,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Bootstrap, Grid",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.4
114,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Responsive Design, HTML, DOM Manipulation, Web Accessibility",Media queries allow you to apply styles conditionally based on screen size or device type.,4.3
115,What are media queries in CSS?,Frontend Development,Beginner,"Forms, HTML, CSS","Pseudo-classes define the state of an element, like :hover or :focus.",4.7
116,What is the DOM in JavaScript?,Frontend Development,Beginner,"Responsive Design, CSS, Flexbox",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,5.0
117,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"DOM Manipulation, Web Accessibility, CSS","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.4
118,What are CSS pseudo-classes?,Frontend Development,Beginner,"Grid, Media Queries, JavaScript",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.6
119,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Forms, Basic Styling, Media Queries, Flexbox","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.7
120,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Web Accessibility, HTML, Bootstrap","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",5.0
121,How do you center a div using CSS?,Frontend Development,Beginner,"Web Accessibility, Media Queries, JavaScript, CSS","Padding is the space inside an element's border, while margin is the space outside it.",4.2
122,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Web Accessibility, Media Queries, CSS, Grid",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.7
123,What are CSS pseudo-classes?,Frontend Development,Beginner,"DOM Manipulation, Basic Styling, Flexbox",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.3
124,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Flexbox, Web Accessibility",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.9
125,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Media Queries, Grid, DOM Manipulation",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.7
126,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Grid, Basic Styling, Forms",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.8
127,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"DOM Manipulation, Forms, Responsive Design, CSS",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.1
128,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Basic Styling, Bootstrap, Grid",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.4
129,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Basic Styling, Media Queries, Bootstrap, DOM Manipulation",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.8
130,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, HTML",Media queries allow you to apply styles conditionally based on screen size or device type.,5.0
131,What are CSS pseudo-classes?,Frontend Development,Beginner,"Media Queries, Responsive Design, Grid","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.8
132,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"HTML, Bootstrap, Forms","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.6
133,What are media queries in CSS?,Frontend Development,Beginner,"Web Accessibility, JavaScript, CSS",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.1
134,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Bootstrap, Grid",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.4
135,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"HTML, JavaScript","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.4
136,How do you validate a form using JavaScript?,Frontend Development,Beginner,"CSS, Responsive Design, HTML","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.2
137,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, Forms, DOM Manipulation, Media Queries",Use the <link> tag within the <head> to include an external CSS file.,4.3
138,What are CSS pseudo-classes?,Frontend Development,Beginner,"Bootstrap, Grid, DOM Manipulation, Forms","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.7
139,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Responsive Design, Flexbox","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.6
140,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, Forms",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.4
141,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Forms, DOM Manipulation, JavaScript","Padding is the space inside an element's border, while margin is the space outside it.",4.7
142,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Forms, DOM Manipulation, HTML, Grid","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.8
143,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Grid, Responsive Design",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.4
144,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Media Queries, Grid",You can use document.getElementById('id') to select an element by its ID.,4.5
145,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Bootstrap, Flexbox",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.6
146,What is the DOM in JavaScript?,Frontend Development,Beginner,"Web Accessibility, Basic Styling, Media Queries",Add a JavaScript click event listener to make a button clickable.,4.8
147,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Web Accessibility, Forms",Media queries allow you to apply styles conditionally based on screen size or device type.,4.1
148,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Bootstrap, JavaScript, Media Queries",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.6
149,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Forms, Web Accessibility, Flexbox, JavaScript","Pseudo-classes define the state of an element, like :hover or :focus.",5.0
150,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"DOM Manipulation, JavaScript, Basic Styling, HTML",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.5
151,What are semantic elements in HTML?,Frontend Development,Beginner,"Basic Styling, DOM Manipulation",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.6
152,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Basic Styling, Bootstrap",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.8
153,What are CSS pseudo-classes?,Frontend Development,Beginner,"Forms, JavaScript",You can use document.getElementById('id') to select an element by its ID.,4.3
154,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Forms, Basic Styling","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.3
155,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"CSS, Basic Styling","Padding is the space inside an element's border, while margin is the space outside it.",4.2
156,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Responsive Design, Basic Styling, Forms, Media Queries","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.3
157,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"JavaScript, Grid, Basic Styling","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",5.0
158,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Basic Styling, JavaScript, CSS, Grid",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.3
159,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"HTML, Grid",Media queries allow you to apply styles conditionally based on screen size or device type.,5.0
160,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Grid, DOM Manipulation","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.6
161,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Bootstrap, DOM Manipulation",Add a JavaScript click event listener to make a button clickable.,4.6
162,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Responsive Design, Grid, Forms",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.4
163,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Basic Styling, Flexbox, JavaScript, HTML","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.6
164,How do you validate a form using JavaScript?,Frontend Development,Beginner,"Forms, HTML, Bootstrap",Use the <link> tag within the <head> to include an external CSS file.,4.6
165,How do you apply a background image to a webpage?,Frontend Development,Beginner,"JavaScript, Responsive Design, Grid","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.2
166,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Grid, Media Queries, Responsive Design",Media queries allow you to apply styles conditionally based on screen size or device type.,4.5
167,What is the DOM in JavaScript?,Frontend Development,Beginner,"HTML, Forms, Grid, DOM Manipulation","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.2
168,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"DOM Manipulation, HTML, Responsive Design",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.8
